cell,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio12,bio13,bio14,bio15,bio18,bio19,X0,X11,X12,X21,X22,X23,X24,X31,X41,X42,X43,X52,X71,X81,X82,X90,X95,x,y,dominant_cover,has_open_water,has_deciduous_forest,has_evergreen_forest,has_mixed_forest,has_shrub_or_scrub,has_grassland_or_herbaceous,has_pasture_or_hay,has_cultivated_crops,has_other,has_developed,has_wetlands
2,95.0,89.0,40.0,4757.0,220.0,-2.0,222.0,40.0,157.0,157.0,1003.0,142.0,33.0,45.0,119.0,376.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.75,48.9166666666667,Open Water,True,False,False,False,False,False,False,False,False,False,False
3,96.0,90.0,39.0,4851.0,222.0,-4.0,226.0,39.0,159.0,159.0,1074.0,149.0,37.0,43.0,130.0,395.0,0.0,0.0,0,0.110302165150642,0.0,0.0,0.0,0.0,0.0,0.815435826778412,0.0,0.0,0.0,0.0,0.0,0.0742620229721069,0.0,-122.583333333333,48.9166666666667,Evergreen Forest,False,False,True,False,False,False,False,False,False,True,True
4,97.0,94.0,39.0,4962.0,230.0,-6.0,236.0,38.0,160.0,160.0,1183.0,159.0,42.0,41.0,147.0,422.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379073679447174,0.620926320552826,0.0,0.0,-122.416666666667,48.9166666666667,Cultivated Crops,False,False,False,False,False,False,True,True,False,False,False
13,49.0,122.0,34.0,8032.0,248.0,-109.0,357.0,-48.0,110.0,151.0,349.0,40.0,21.0,21.0,93.0,96.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894412457942963,0.10558755695819902,0.0,0.0,0.0,0.0,-119.25,48.9166666666667,Shrub/Scrub,False,False,False,False,True,True,False,False,False,False,False
14,45.0,121.0,34.0,7977.0,244.0,-110.0,354.0,85.0,0.0,147.0,368.0,41.0,22.0,21.0,100.0,99.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8480957746505741,0.0,0.151904225349426,0.0,0.0,0.0,0.0,0.0,-119.083333333333,48.9166666666667,Evergreen Forest,False,False,True,False,True,False,False,False,False,False,False
18,67.0,119.0,32.0,8334.0,273.0,-89.0,362.0,-33.0,167.0,174.0,615.0,77.0,32.0,27.0,128.0,196.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.916666666667,48.9166666666667,Evergreen Forest,False,False,True,False,False,False,False,False,False,False,False
19,47.0,108.0,31.0,7885.0,244.0,-98.0,342.0,-45.0,144.0,149.0,757.0,98.0,37.0,31.0,141.0,257.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.416666666667,48.9166666666667,Evergreen Forest,False,False,True,False,False,False,False,False,False,False,False
23,27.0,108.0,32.0,7604.0,221.0,-115.0,336.0,-60.0,123.0,126.0,843.0,110.0,38.0,33.0,151.0,291.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.75,48.9166666666667,Evergreen Forest,False,False,True,False,False,False,False,False,False,False,False
30,61.0,138.0,35.0,8333.0,279.0,-107.0,386.0,147.0,18.0,169.0,496.0,60.0,31.0,21.0,132.0,132.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.59393048286438,0.0,0.406069546937943,0.0,0.0,0.0,0.0,0.0,-115.083333333333,48.9166666666667,Evergreen Forest,False,False,True,False,True,False,False,False,False,False,False
32,15.0,130.0,35.0,7670.0,217.0,-148.0,365.0,-73.0,109.0,114.0,749.0,83.0,42.0,21.0,168.0,226.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.75,48.9166666666667,Evergreen Forest,False,False,True,False,False,False,False,False,False,False,False
36,36.0,135.0,36.0,7869.0,235.0,-137.0,372.0,114.0,-11.0,137.0,508.0,81.0,27.0,38.0,172.0,90.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823871269822121,0.9176128506660458,0.0,0.0,0.0,0.0,-113.416666666667,48.9166666666667,Grassland/Herbaceous,False,False,False,False,True,True,False,False,False,False,False
61,28.0,119.0,24.0,12684.0,260.0,-222.0,482.0,180.0,-146.0,180.0,490.0,80.0,13.0,59.0,223.0,45.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6727770566940311,0.0,0.0,0.0,0.0,0.0,0.32722291350364696,0.0,0.0,-98.0833333333333,48.9166666666667,Deciduous Forest,False,True,False,False,False,False,False,True,False,False,False
63,24.0,124.0,24.0,12882.0,259.0,-239.0,498.0,177.0,-155.0,177.0,516.0,88.0,12.0,59.0,236.0,48.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124244101345539,0.0,0.875755906105042,-96.0833333333333,48.9166666666667,Wetlands,False,False,False,False,False,False,False,True,False,False,True
67,24.0,121.0,24.0,12905.0,257.0,-243.0,500.0,179.0,-155.0,179.0,551.0,94.0,13.0,61.0,256.0,46.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.25,48.9166666666667,Open Water,True,False,False,False,False,False,False,False,False,False,False
68,25.0,119.0,24.0,12769.0,255.0,-238.0,493.0,178.0,-152.0,178.0,574.0,96.0,13.0,59.0,263.0,49.0,0.0,0.105615228414536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894384801387787,0.0,-94.9166666666667,48.9166666666667,Wetlands,True,False,False,False,False,False,False,False,False,False,True
69,95.0,82.0,41.0,4203.0,210.0,11.0,199.0,48.0,149.0,149.0,795.0,119.0,25.0,48.0,92.0,304.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.916666666667,48.75,Open Water,True,False,False,False,False,False,False,False,False,False,False
70,94.0,85.0,40.0,4443.0,212.0,2.0,210.0,43.0,151.0,151.0,877.0,125.0,30.0,45.0,105.0,330.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.75,48.75,Open Water,True,False,False,False,False,False,False,False,False,False,False
72,93.0,89.0,39.0,4719.0,218.0,-5.0,223.0,38.0,153.0,153.0,1116.0,152.0,39.0,42.0,137.0,407.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.416666666667,48.75,Developed,False,False,False,False,False,False,False,False,False,True,False
73,85.0,90.0,38.0,4922.0,217.0,-14.0,231.0,29.0,149.0,149.0,1383.0,192.0,45.0,44.0,160.0,515.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.25,48.75,Evergreen Forest,False,False,True,False,False,False,False,False,False,False,False
77,51.0,101.0,34.0,6773.0,220.0,-75.0,295.0,-27.0,139.0,139.0,1274.0,209.0,35.0,59.0,121.0,547.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.852262914180756,0.0,0.14773708581924402,0.0,0.0,0.0,0.0,0.0,-121.083333333333,48.75,Evergreen Forest,False,False,True,False,True,False,False,False,False,False,False
82,73.0,126.0,34.0,8432.0,277.0,-93.0,370.0,-29.0,135.0,180.0,320.0,40.0,17.0,25.0,75.0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-119.583333333333,48.75,Shrub/Scrub,False,False,False,False,True,False,False,False,False,False,False
83,86.0,128.0,34.0,8460.0,291.0,-80.0,371.0,-17.0,187.0,193.0,308.0,38.0,17.0,23.0,72.0,94.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677063345909119,0.0,0.0,0.273878782987595,0.0,0.0490578860044479,-119.416666666667,48.75,Shrub/Scrub,False,False,False,False,True,False,False,True,False,False,True
84,54.0,125.0,34.0,8131.0,256.0,-106.0,362.0,-44.0,115.0,158.0,347.0,40.0,20.0,22.0,88.0,98.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-119.25,48.75,Shrub/Scrub,False,False,False,False,True,False,False,False,False,False,False
85,39.0,121.0,34.0,7928.0,237.0,-116.0,353.0,-56.0,100.0,140.0,387.0,45.0,23.0,22.0,98.0,109.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.083333333333,48.75,Evergreen Forest,False,False,True,False,False,False,False,False,False,False,False
86,49.0,125.0,34.0,7987.0,251.0,-107.0,358.0,-48.0,109.0,151.0,413.0,48.0,24.0,23.0,103.0,116.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.75,48.75,Evergreen Forest,False,False,True,False,False,False,False,False,False,False,False
87,53.0,126.0,34.0,8066.0,257.0,-104.0,361.0,-44.0,151.0,157.0,441.0,52.0,25.0,23.0,106.0,127.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.307647198438644,0.0,0.692352831363678,0.0,0.0,0.0,0.0,0.0,-118.583333333333,48.75,Shrub/Scrub,False,False,True,False,True,False,False,False,False,False,False
